rank,title,duration,genres,directors,cast,synopsis,rating,duration_min
1,Forrest Gump,2h 20min,"Comédie,Drame,Romance",Robert Zemeckis,"Tom Hanks,Gary Sinise,Robin Wright","Quelques décennies d'histoire américaine, des années 1940 à la fin du XXème siècle, à travers le regard et l'étrange odyssée d'un homme simple et pur, Forrest Gump.",2.6,140
2,La Liste de Schindler,3h 15min,"Historique,Guerre",Steven Spielberg,"Liam Neeson,Ben Kingsley,Ralph Fiennes","Evocation des années de guerre d'Oskar Schindler, industriel autrichien rentré à Cracovie en 1939 avec les troupes allemandes. Il va, tout au long de la guerre, protéger des juifs en les faisant travailler dans sa fabrique.",4.2,195
3,La Ligne verte,3h 09min,"Policier,Fantastique",Frank Darabont,"Tom Hanks,Michael Clarke Duncan,David Morse","Paul Edgecomb, Gardien-chef du pénitencier de Cold Mountain en 1935, était chargé de veiller au bon déroulement des exécutions capitales. Parmi les prisonniers se trouvait un colosse du nom de John Coffey...",2.8,189
4,12 hommes en colère,1h 35min,Drame,Sidney Lumet,"Henry Fonda,Martin Balsam,John Fiedler","Lors d'un procès, un juré émet l'hypothèse que l'homme qu'il doit juger n'est peut-être pas coupable. Il va tenter de convaincre les onze autres jurés.",5.0,95
5,Le Parrain,2h 55min,"Policier,Drame",Francis Ford Coppola,"Marlon Brando,Al Pacino,James Caan","En 1945, à New York, les Corleone sont une des cinq familles de la mafia. Don Vito Corleone marie sa fille à un bookmaker. Sollozzo, ""parrain"" de la famille Tattaglia, propose à Don Vito une association dans le trafic de drogue...",4.6,175
6,Les Evadés,2h 22min,Drame,Frank Darabont,"Tim Robbins,Morgan Freeman,Bob Gunton","Condamné à perpétuité pour le meurtre de sa femme et de son amant, un banquier s'accroche à l'espoir et se lie d'amitié avec un autre détenu pour survivre en prison.",3.2,142
7,Le Seigneur des anneaux : le retour du roi,3h 21min,"Aventure,Fantastique",Peter Jackson,"Sean Astin,Elijah Wood,Viggo Mortensen","Tandis que les ténèbres se répandent sur la Terre du Milieu, Aragorn se révèle être l'héritier caché des rois antiques. Quant à Frodon, toujours tenté par l'Anneau, il voyage à travers les contrées ennemies, se reposant sur Sam et Gollum...",3.8,201
8,Le Roi Lion,1h 29min,"Aventure,Animation,Famille","Roger Allers,Rob Minkoff","Emmanuel Curtil,Matthew Broderick,Dimitri Rougeul","Le long combat de Simba le lionceau pour accéder à son rang de roi des animaux, après que le fourbe Scar, son oncle, a tué son père et pris sa place.",3.4,89
9,Vol au-dessus d'un nid de coucou,2h 09min,Drame,Milos Forman,"Jack Nicholson,Louise Fletcher,William Redfield",Rebellion dans un hôpital psychiatrique à l'instigation d'un malade qui se révolte contre la dureté d'une infirmière.,5.0,129
10,"The Dark Knight, Le Chevalier Noir",2h 32min,"Action,Thriller",Christopher Nolan,"Christian Bale,Heath Ledger,Aaron Eckhart",Batman entreprend de démanteler les dernières organisations criminelles de Gotham. Mais il se heurte bientôt à un nouveau génie du crime qui répand la terreur et le chaos dans la ville : le Joker...,4.0,152
